"image","xmin","ymin","xmax","ymax","label"
"00000004.jpg",19.79590108401084,3.6145610278372593,494.9539859981933,407.9935760171307,"serratella_ignita"
"00000000.jpg",24.671052631578945,80.17130620985012,572.5407268170426,399.35331905781584,"serratella_ignita"
"00000003.jpg",8.95933838731909,24.687431394072448,497.5878704341833,263.89270032930847,"serratella_ignita"
"00000001.jpg",0,0,320,319.65738758029977,"serratella_ignita"
"00000007.jpg",0,24.411134903640257,766.6967871485944,528.693790149893,"serratella_ignita"
"00000009.jpg",5.196416264645072,3.3959085439229844,288.80082701585104,164.2614696149218,"serratella_ignita"
"00000020.jpg",32.32695895522388,34.2558886509636,769.1627798507462,686.6402569593147,"serratella_ignita"
"00000022.jpg",39.66875737898466,50.364025695931474,446.9084268004723,522.2269807280513,"serratella_ignita"
"00000017.jpg",21.2710843373494,104.06852248394004,480.00000000000006,239.35760171306208,"serratella_ignita"
"00000024.jpg",561.9320046893317,306.0546038543897,991.6998827667057,896.5599571734475,"serratella_ignita"
"00000028.jpg",0,28.3576017130621,487.6977437759336,285.3051391862955,"serratella_ignita"
